Time	Open	High	Low	Close	Volume
2009-02-11 04:00:00	130.885	130.91	129.49	129.905	23330	51
2009-02-11 08:00:00	129.915	131.075	128.86	129.105	54166	39
2009-02-11 12:00:00	129.115	130.28	129.03	129.55	35364	48
2009-02-11 16:00:00	129.555	130.465	129.365	130.075	25756	37
2009-02-11 20:00:00	130.085	130.285	129.505	129.58	10195	69
2009-02-12 00:00:00	129.595	130	129.15	129.185	25504	90
2009-02-12 04:00:00	129.18	129.775	129.115	129.385	22519	49
2009-02-12 08:00:00	129.385	129.43	127.11	127.83	62062	50
2009-02-12 12:00:00	127.83	129.33	127.725	129.12	70316	42
2009-02-12 16:00:00	129.135	129.545	128.21	128.37	55939	40
2009-02-12 20:00:00	128.36	129.915	128.06	129.53	39691	48
2009-02-13 00:00:00	129.53	131.275	129.29	131.055	28379	68
2009-02-13 04:00:00	131.04	131.915	130.37	131.795	28820	48
2009-02-13 08:00:00	131.8	133.89	131.335	132.89	58791	45
2009-02-13 12:00:00	132.9	133.34	131.265	132.685	72904	46
2009-02-13 16:00:00	132.685	132.7	131.86	132.4	42413	48
2009-02-13 20:00:00	132.4	132.49	131.775	132.005	10132	61
2009-02-15 20:00:00	130.273	131.06	130.07	130.21	8863	47
2009-02-16 00:00:00	130.21	130.795	130.06	130.41	18652	86
2009-02-16 04:00:00	130.42	130.7	129.605	130.195	25735	48
2009-02-16 08:00:00	130.205	131.455	129.93	130.83	56987	42
2009-02-16 12:00:00	130.83	131.365	130.48	130.805	57665	43
2009-02-16 16:00:00	130.82	131.05	130.625	130.7	15586	45
2009-02-16 20:00:00	130.7	131.17	130.648	131.095	9150	76
2009-02-17 00:00:00	131.11	131.71	130.335	131.575	25479	79
2009-02-17 04:00:00	131.575	131.675	130.455	130.485	23722	71
2009-02-17 08:00:00	130.46	131.54	129.65	130.835	90227	51
2009-02-17 12:00:00	130.835	132.135	130.72	131.705	124435	50
2009-02-17 16:00:00	131.72	132.18	131.065	131.89	20819	37
2009-02-17 20:00:00	131.905	132.21	131.125	131.38	11305	41
2009-02-18 00:00:00	131.39	131.605	131.154	131.34	10576	49
2009-02-18 04:00:00	131.345	132.34	131.24	132.185	20701	57
2009-02-18 08:00:00	132.185	132.25	130.375	131.78	31497	45
2009-02-18 12:00:00	131.78	133.155	131.505	132.8	48309	23
2009-02-18 16:00:00	132.81	133.725	132.51	133.335	24494	21
2009-02-18 20:00:00	133.35	133.585	133.15	133.42	6734	22
2009-02-19 00:00:00	133.41	133.855	133.33	133.73	10946	57
2009-02-19 04:00:00	133.735	134.135	132.895	134.1	12065	29
2009-02-19 08:00:00	134.115	134.965	134.04	134.7	46348	25
2009-02-19 12:00:00	134.715	136.375	134.255	134.635	68643	34
2009-02-19 16:00:00	134.625	135.31	134.46	135.01	46894	22
2009-02-19 20:00:00	135.01	135.095	133.985	134.06	24390	23
2009-02-20 00:00:00	134.06	134.305	133.765	133.99	24795	67
2009-02-20 04:00:00	134	134.015	133.41	133.65	31559	43
2009-02-20 08:00:00	133.665	134.53	132.745	134.445	35849	42
2009-02-20 12:00:00	134.47	135.225	134.065	134.85	53013	21
2009-02-20 16:00:00	134.85	135.34	133.72	134.61	35495	22
2009-02-20 20:00:00	134.62	134.755	134.055	134.66	7887	34
2009-02-22 20:00:00	134.49	134.79	134.3	134.365	3056	163
2009-02-23 00:00:00	134.375	135.33	133.81	134.885	15746	87
