Time	Open	High	Low	Close	Volume
2009-02-11 00:00:00	1.1602	1.1606	1.15876	1.1595	12341	40
2009-02-11 04:00:00	1.1595	1.1609	1.15475	1.15895	86019	34
2009-02-11 08:00:00	1.15895	1.1591	1.15115	1.15575	194337	17
2009-02-11 12:00:00	1.15585	1.1633	1.1529	1.16115	163896	28
2009-02-11 16:00:00	1.1612	1.1628	1.1573	1.15825	101414	20
2009-02-11 20:00:00	1.1582	1.1611	1.15745	1.1606	43609	30
2009-02-12 00:00:00	1.1606	1.16085	1.15595	1.15965	46465	31
2009-02-12 04:00:00	1.1597	1.16015	1.15695	1.1573	59574	30
2009-02-12 08:00:00	1.1573	1.16625	1.1572	1.16415	160514	26
2009-02-12 12:00:00	1.16415	1.1714	1.15745	1.16695	153474	27
2009-02-12 16:00:00	1.16695	1.1672	1.1611	1.1672	113184	18
2009-02-12 20:00:00	1.1673	1.16775	1.1586	1.1612	69085	28
2009-02-13 00:00:00	1.16125	1.16205	1.15635	1.1565	40334	43
2009-02-13 04:00:00	1.15665	1.161	1.1564	1.1576	58716	30
2009-02-13 08:00:00	1.1576	1.16235	1.15675	1.16185	135118	25
2009-02-13 12:00:00	1.16185	1.16595	1.1579	1.15855	142888	25
2009-02-13 16:00:00	1.1585	1.1604	1.15605	1.1593	93038	18
2009-02-13 20:00:00	1.1593	1.1623	1.15875	1.15974	19391	30
2009-02-15 20:00:00	1.16461	1.1654	1.1623	1.1634	16333	47
2009-02-16 00:00:00	1.1634	1.16665	1.16115	1.16535	38342	29
2009-02-16 04:00:00	1.1653	1.1703	1.16505	1.16835	62288	29
2009-02-16 08:00:00	1.1684	1.1707	1.1665	1.16845	119219	26
2009-02-16 12:00:00	1.16845	1.16965	1.15795	1.15965	112319	27
2009-02-16 16:00:00	1.15955	1.16425	1.15955	1.16245	49922	28
2009-02-16 20:00:00	1.1624	1.1624	1.1588	1.15945	30253	23
2009-02-17 00:00:00	1.15945	1.17445	1.15945	1.17415	68086	45
2009-02-17 04:00:00	1.17415	1.1778	1.1727	1.17485	67267	32
2009-02-17 08:00:00	1.1749	1.1759	1.1668	1.1703	154394	22
2009-02-17 12:00:00	1.1703	1.1776	1.1692	1.1766	175264	23
2009-02-17 16:00:00	1.1766	1.1773	1.1692	1.16935	116587	20
2009-02-17 20:00:00	1.1694	1.17095	1.16735	1.1687	67948	24
2009-02-18 00:00:00	1.1687	1.1693	1.1661	1.168	40229	37
2009-02-18 04:00:00	1.168	1.1703	1.1651	1.16915	71403	39
2009-02-18 08:00:00	1.1692	1.1762	1.168	1.174	160535	26
2009-02-18 12:00:00	1.174	1.1805	1.1722	1.17945	160205	27
2009-02-18 16:00:00	1.17945	1.1826	1.1744	1.1761	114919	19
2009-02-18 20:00:00	1.1761	1.17865	1.1742	1.1746	39011	27
2009-02-19 00:00:00	1.1746	1.17545	1.17238	1.17305	33669	43
2009-02-19 04:00:00	1.17305	1.17615	1.1726	1.176	60280	39
2009-02-19 08:00:00	1.176	1.17995	1.1739	1.17665	204395	17
2009-02-19 12:00:00	1.17665	1.17755	1.1702	1.173	157087	25
2009-02-19 16:00:00	1.173	1.17575	1.1707	1.1732	109065	17
2009-02-19 20:00:00	1.1733	1.1756	1.172	1.1744	50287	19
2009-02-20 00:00:00	1.17445	1.1791	1.17395	1.178	33769	24
2009-02-20 04:00:00	1.178	1.18235	1.178	1.1805	69569	54
2009-02-20 08:00:00	1.1806	1.1884	1.17935	1.18545	148943	13
2009-02-20 12:00:00	1.18555	1.1875	1.17705	1.1781	163998	22
2009-02-20 16:00:00	1.1781	1.17995	1.1461	1.1546	126165	21
2009-02-20 20:00:00	1.1546	1.1568	1.15165	1.156	29539	18
2009-02-22 20:00:00	1.15913	1.15949	1.1563	1.159	13314	33
2009-02-23 00:00:00	1.159	1.1593	1.14755	1.15	57913	45
2009-02-23 04:00:00	1.1498	1.15325	1.14595	1.15195	81138	27
2009-02-23 08:00:00	1.1519	1.1637	1.15135	1.1623	190027	26
2009-02-23 12:00:00	1.1623	1.1668	1.15975	1.165	186388	20
2009-02-23 16:00:00	1.1649	1.1682	1.1616	1.1668	130885	16
2009-02-23 20:00:00	1.16685	1.171	1.16675	1.17075	48727	25
2009-02-24 00:00:00	1.1708	1.17125	1.16635	1.16845	53453	34
2009-02-24 04:00:00	1.1684	1.16885	1.1617	1.16175	84327	38
2009-02-24 08:00:00	1.16175	1.16345	1.1532	1.1574	171472	20
2009-02-24 12:00:00	1.1574	1.16795	1.15645	1.1669	185680	24
2009-02-24 16:00:00	1.1669	1.1699	1.1579	1.16015	125501	16
2009-02-24 20:00:00	1.1602	1.1617	1.15745	1.1582	42537	26
2009-02-25 00:00:00	1.1582	1.1634	1.1581	1.16315	55733	31
2009-02-25 04:00:00	1.16315	1.16395	1.157	1.1585	90337	41
2009-02-25 08:00:00	1.1585	1.1623	1.1548	1.1617	166340	23
2009-02-25 12:00:00	1.1618	1.1678	1.15885	1.1678	183000	19
2009-02-25 16:00:00	1.16775	1.17425	1.16305	1.1733	139721	14
2009-02-25 20:00:00	1.17325	1.1734	1.16915	1.16975	52643	26
2009-02-26 00:00:00	1.16975	1.17045	1.1677	1.1692	36790	38
2009-02-26 04:00:00	1.1692	1.1729	1.16875	1.17105	64320	31
2009-02-26 08:00:00	1.17105	1.1711	1.161	1.1629	153190	24
2009-02-26 12:00:00	1.1629	1.1691	1.1596	1.1674	133673	17
2009-02-26 16:00:00	1.1674	1.1677	1.1625	1.165	101113	18
2009-02-26 20:00:00	1.165	1.167	1.1635	1.1659	48830	17
2009-02-27 00:00:00	1.1659	1.1677	1.16425	1.1655	34564	34
2009-02-27 04:00:00	1.16545	1.1698	1.1635	1.16935	78357	42
2009-02-27 08:00:00	1.16935	1.176	1.16935	1.17495	158684	21
2009-02-27 12:00:00	1.175	1.1755	1.16305	1.1648	145730	22
2009-02-27 16:00:00	1.16475	1.17055	1.1612	1.1685	100136	15
2009-02-27 20:00:00	1.1685	1.1711	1.168	1.16965	17313	21
2009-03-01 20:00:00	1.17075	1.1737	1.1697	1.17305	11460	88
2009-03-02 00:00:00	1.173	1.1747	1.17115	1.1736	35904	57
2009-03-02 04:00:00	1.17344	1.1758	1.17045	1.17185	75700	21
2009-03-02 08:00:00	1.1719	1.1776	1.1718	1.1752	147478	20
2009-03-02 12:00:00	1.1752	1.1796	1.17015	1.1732	190801	23
2009-03-02 16:00:00	1.1732	1.1775	1.17165	1.1772	117625	15
2009-03-02 20:00:00	1.17715	1.17775	1.17395	1.1758	46408	16
2009-03-03 00:00:00	1.1758	1.17675	1.1716	1.1724	43784	40
2009-03-03 04:00:00	1.1724	1.1736	1.16825	1.1715	69355	42
2009-03-03 08:00:00	1.1714	1.1759	1.1705	1.17565	158689	19
2009-03-03 12:00:00	1.1757	1.1782	1.16985	1.1774	163864	18
2009-03-03 16:00:00	1.1773	1.17885	1.17305	1.17485	135542	16
2009-03-03 20:00:00	1.1748	1.17885	1.1741	1.1787	53932	21
2009-03-04 00:00:00	1.17875	1.18255	1.1776	1.17995	53380	48
2009-03-04 04:00:00	1.17985	1.18245	1.1785	1.18205	82883	28
2009-03-04 08:00:00	1.18205	1.1848	1.17925	1.18065	138887	22
2009-03-04 12:00:00	1.18075	1.18125	1.17525	1.1797	178776	22
2009-03-04 16:00:00	1.17965	1.1797	1.17015	1.1713	125166	14
2009-03-04 20:00:00	1.1714	1.17185	1.1644	1.169	78067	28
2009-03-05 00:00:00	1.1691	1.1736	1.16895	1.17185	45878	41
2009-03-05 04:00:00	1.1715	1.17465	1.171	1.17305	61832	50
