Time	Open	High	Low	Close	Volume
2009-01-27 12:00:00	0.6616	0.665	0.65708	0.661	18088	32
2009-01-27 16:00:00	0.66095	0.6638	0.65885	0.66215	14156	24
2009-01-27 20:00:00	0.66215	0.66545	0.66	0.6643	5409	31
2009-01-28 00:00:00	0.66425	0.6669	0.6615	0.6653	9082	36
2009-01-28 04:00:00	0.6653	0.6705	0.6643	0.6677	9776	26
2009-01-28 08:00:00	0.66765	0.67045	0.6655	0.6699	13986	32
2009-01-28 12:00:00	0.67	0.67175	0.6667	0.66735	21046	28
2009-01-28 16:00:00	0.66745	0.673	0.66345	0.66617	16089	24
2009-01-28 20:00:00	0.66629	0.668	0.6593	0.665	7506	69
2009-01-29 00:00:00	0.665	0.666	0.6606	0.66105	6748	44
2009-01-29 04:00:00	0.661	0.6614	0.6558	0.65765	9233	23
2009-01-29 08:00:00	0.65765	0.6601	0.65415	0.65955	12880	32
2009-01-29 12:00:00	0.6596	0.66075	0.65525	0.65865	17119	33
2009-01-29 16:00:00	0.6586	0.6595	0.65225	0.6538	13910	24
2009-01-29 20:00:00	0.6538	0.6543	0.6486	0.6498	5703	25
2009-01-30 00:00:00	0.64974	0.65033	0.64242	0.64354	8318	24
2009-01-30 04:00:00	0.64345	0.64838	0.64306	0.64569	9549	19
2009-01-30 08:00:00	0.6457	0.64718	0.63956	0.6396	13462	21
2009-01-30 12:00:00	0.63957	0.64005	0.6354	0.63571	16892	19
2009-01-30 16:00:00	0.63575	0.63929	0.63453	0.6355	12540	21
2009-01-30 20:00:00	0.63548	0.63762	0.63439	0.63632	2780	38
2009-02-01 20:00:00	0.63598	0.63719	0.63406	0.63524	2522	30
2009-02-02 00:00:00	0.6353	0.6363	0.63105	0.6318	6882	34
2009-02-02 04:00:00	0.63195	0.6335	0.62985	0.63125	7423	25
2009-02-02 08:00:00	0.6313	0.63315	0.62475	0.62827	13619	29
2009-02-02 12:00:00	0.62829	0.6345	0.6255	0.63125	13270	27
2009-02-02 16:00:00	0.63125	0.63565	0.63	0.6301	11659	25
2009-02-02 20:00:00	0.63015	0.6328	0.62935	0.6303	4635	36
2009-02-03 00:00:00	0.6303	0.64195	0.63013	0.641	10026	27
2009-02-03 04:00:00	0.641	0.6411	0.6345	0.6385	9449	25
2009-02-03 08:00:00	0.6385	0.6391	0.63373	0.639	11606	32
2009-02-03 12:00:00	0.6389	0.6447	0.6381	0.64375	16428	30
2009-02-03 16:00:00	0.64375	0.6537	0.6434	0.6528	11705	20
2009-02-03 20:00:00	0.65285	0.65455	0.64865	0.6488	5668	22
2009-02-04 00:00:00	0.64875	0.6515	0.6458	0.6473	8821	31
2009-02-04 04:00:00	0.6473	0.65305	0.63685	0.63845	12140	31
2009-02-04 08:00:00	0.63845	0.6443	0.63535	0.64045	15904	27
2009-02-04 12:00:00	0.64045	0.6522	0.63945	0.6509	17477	26
2009-02-04 16:00:00	0.651	0.6513	0.64225	0.64485	11155	19
2009-02-04 20:00:00	0.64485	0.6459	0.6401	0.6425	5781	25
2009-02-05 00:00:00	0.6425	0.6442	0.6404	0.6434	5787	27
2009-02-05 04:00:00	0.6434	0.64925	0.6424	0.6475	12241	25
2009-02-05 08:00:00	0.64745	0.6502	0.64515	0.65005	14138	20
2009-02-05 12:00:00	0.65005	0.6527	0.6452	0.65065	19748	19
2009-02-05 16:00:00	0.6507	0.6581	0.65052	0.6545	14295	20
2009-02-05 20:00:00	0.6545	0.6552	0.65045	0.6516	6025	38
2009-02-06 00:00:00	0.65157	0.6531	0.64749	0.65162	8538	22
2009-02-06 04:00:00	0.65165	0.65529	0.65048	0.65488	8488	42
2009-02-06 08:00:00	0.65493	0.6603	0.65486	0.65857	14634	31
2009-02-06 12:00:00	0.65856	0.6715	0.65816	0.66918	18909	24
2009-02-06 16:00:00	0.66918	0.68014	0.66871	0.67545	12953	16
2009-02-06 20:00:00	0.67548	0.67682	0.67417	0.67546	2136	29
2009-02-08 20:00:00	0.6735	0.67663	0.67125	0.67306	4036	30
2009-02-09 00:00:00	0.67305	0.67495	0.66505	0.66913	10307	31
2009-02-09 04:00:00	0.66911	0.66985	0.66275	0.66675	9799	19
2009-02-09 08:00:00	0.6668	0.6743	0.66455	0.6724	12466	24
2009-02-09 12:00:00	0.6724	0.68345	0.67225	0.68345	18296	17
2009-02-09 16:00:00	0.68345	0.6849	0.67705	0.6784	12089	14
2009-02-09 20:00:00	0.6784	0.68145	0.6741	0.67455	6403	32
2009-02-10 00:00:00	0.67455	0.6754	0.66743	0.668	12140	28
2009-02-10 04:00:00	0.6679	0.67275	0.66675	0.67055	10840	26
2009-02-10 08:00:00	0.6706	0.67265	0.6633	0.6656	17473	22
2009-02-10 12:00:00	0.6656	0.6723	0.66455	0.66995	17301	22
2009-02-10 16:00:00	0.67	0.6738	0.64865	0.6488	21378	25
2009-02-10 20:00:00	0.64875	0.65735	0.64835	0.657	7628	37
2009-02-11 00:00:00	0.657	0.66	0.6535	0.65435	8406	20
2009-02-11 04:00:00	0.65435	0.65695	0.6517	0.655	10190	27
2009-02-11 08:00:00	0.655	0.6561	0.65185	0.65305	15613	19
2009-02-11 12:00:00	0.653	0.6601	0.64805	0.6518	21060	24
2009-02-11 16:00:00	0.65175	0.6581	0.64925	0.6578	14314	23
2009-02-11 20:00:00	0.65785	0.65855	0.6531	0.6533	5199	31
2009-02-12 00:00:00	0.65285	0.6615	0.65096	0.65595	10924	31
2009-02-12 04:00:00	0.656	0.6588	0.6524	0.65625	9891	24
2009-02-12 08:00:00	0.65625	0.65675	0.64595	0.6476	17260	17
2009-02-12 12:00:00	0.64765	0.6517	0.64375	0.6482	20147	24
2009-02-12 16:00:00	0.6482	0.6533	0.64485	0.64525	15447	19
2009-02-12 20:00:00	0.6454	0.65685	0.64305	0.65675	11052	35
2009-02-13 00:00:00	0.65675	0.65961	0.65329	0.65874	8566	28
2009-02-13 04:00:00	0.65874	0.66187	0.6558	0.66186	10691	22
2009-02-13 08:00:00	0.66189	0.66406	0.65942	0.66035	15925	21
2009-02-13 12:00:00	0.6603	0.66318	0.65662	0.66275	17132	22
2009-02-13 16:00:00	0.66275	0.66275	0.6567	0.66011	10863	22
2009-02-13 20:00:00	0.66018	0.661	0.65451	0.65583	1703	38
2009-02-15 20:00:00	0.65124	0.65285	0.65012	0.65262	2907	24
2009-02-16 00:00:00	0.65275	0.6538	0.6505	0.65255	6356	23
2009-02-16 04:00:00	0.65255	0.6528	0.64815	0.65025	9273	29
2009-02-16 08:00:00	0.6503	0.65125	0.6474	0.64875	10583	20
2009-02-16 12:00:00	0.64885	0.65185	0.64785	0.6493	9882	31
2009-02-16 16:00:00	0.6493	0.65	0.6479	0.64905	5547	22
2009-02-16 20:00:00	0.6492	0.6531	0.64785	0.65275	4730	48
2009-02-17 00:00:00	0.65265	0.65295	0.6435	0.6438	11709	27
2009-02-17 04:00:00	0.6438	0.64495	0.63745	0.6393	12533	26
