Time	Open	High	Low	Close	Volume
2009-02-09 16:00:00	0.5437	0.5444	0.53738	0.53855	9664	30
2009-02-09 20:00:00	0.53855	0.5416	0.53405	0.53415	12544	36
2009-02-10 00:00:00	0.53415	0.5352	0.5297	0.5311	26774	48
2009-02-10 04:00:00	0.5311	0.537	0.5308	0.53525	22840	62
2009-02-10 08:00:00	0.53525	0.5388	0.53085	0.53325	49387	36
2009-02-10 12:00:00	0.53325	0.53885	0.53224	0.535	34529	40
2009-02-10 16:00:00	0.53505	0.5389	0.5179	0.51805	19796	40
2009-02-10 20:00:00	0.51815	0.52495	0.51775	0.5246	12386	58
2009-02-11 00:00:00	0.52455	0.52705	0.522	0.5235	14464	43
2009-02-11 04:00:00	0.5235	0.5262	0.5216	0.5246	17051	39
2009-02-11 08:00:00	0.5246	0.52545	0.52135	0.52275	25315	27
2009-02-11 12:00:00	0.52275	0.5286	0.52105	0.5232	24515	44
2009-02-11 16:00:00	0.52315	0.5277	0.5214	0.527	15873	34
2009-02-11 20:00:00	0.527	0.5275	0.5231	0.52455	10865	65
2009-02-12 00:00:00	0.5246	0.5316	0.52255	0.52545	20966	41
2009-02-12 04:00:00	0.52545	0.52745	0.5238	0.52665	16154	53
2009-02-12 08:00:00	0.52665	0.5268	0.5165	0.51845	21656	32
2009-02-12 12:00:00	0.51845	0.52145	0.5156	0.51765	25463	48
2009-02-12 16:00:00	0.51765	0.5233	0.51465	0.51515	16276	46
2009-02-12 20:00:00	0.51515	0.5228	0.51345	0.52235	16913	47
2009-02-13 00:00:00	0.5224	0.5247	0.52015	0.5243	11620	30
2009-02-13 04:00:00	0.5244	0.5289	0.52211	0.5289	14830	45
2009-02-13 08:00:00	0.5289	0.52955	0.5259	0.52645	22692	33
2009-02-13 12:00:00	0.52645	0.5287	0.52285	0.5286	25145	43
2009-02-13 16:00:00	0.5286	0.5288	0.5234	0.5254	15133	26
2009-02-13 20:00:00	0.52575	0.52635	0.52147	0.52215	3412	65
2009-02-15 20:00:00	0.52036	0.52285	0.51811	0.5203	5449	45
2009-02-16 00:00:00	0.5203	0.5222	0.51795	0.5194	13071	48
2009-02-16 04:00:00	0.5194	0.5196	0.51766	0.51925	9611	24
2009-02-16 08:00:00	0.51925	0.5204	0.51665	0.518	17242	38
2009-02-16 12:00:00	0.51805	0.5202	0.51699	0.51715	13638	44
2009-02-16 16:00:00	0.5172	0.51775	0.51582	0.51665	7107	31
2009-02-16 20:00:00	0.5168	0.52055	0.5162	0.52015	9219	51
2009-02-17 00:00:00	0.5202	0.52065	0.51215	0.51225	19169	40
2009-02-17 04:00:00	0.51225	0.51305	0.50625	0.50725	19860	48
2009-02-17 08:00:00	0.5074	0.51235	0.50625	0.5089	24203	35
2009-02-17 12:00:00	0.5089	0.5104	0.5062	0.50945	30057	44
2009-02-17 16:00:00	0.5095	0.51205	0.5075	0.5099	14817	33
2009-02-17 20:00:00	0.5099	0.51085	0.5055	0.5076	11762	43
2009-02-18 00:00:00	0.5076	0.5105	0.50705	0.50825	14661	42
2009-02-18 04:00:00	0.5086	0.5135	0.50827	0.5125	19143	29
2009-02-18 08:00:00	0.5125	0.5133	0.50875	0.51065	31235	35
2009-02-18 12:00:00	0.51055	0.51295	0.50745	0.50835	30015	38
2009-02-18 16:00:00	0.5084	0.51215	0.50745	0.51055	13301	35
2009-02-18 20:00:00	0.51055	0.51135	0.5086	0.5108	9621	60
2009-02-19 00:00:00	0.5108	0.51245	0.50995	0.5117	13612	57
2009-02-19 04:00:00	0.51165	0.51345	0.51025	0.5125	15206	31
2009-02-19 08:00:00	0.5125	0.51675	0.5125	0.5156	25974	42
2009-02-19 12:00:00	0.5156	0.51895	0.5124	0.51365	29030	11
2009-02-19 16:00:00	0.51375	0.5157	0.5106	0.51205	13566	34
2009-02-19 20:00:00	0.51205	0.51305	0.5081	0.50875	9774	49
2009-02-20 00:00:00	0.50875	0.5096	0.5031	0.5037	22996	34
2009-02-20 04:00:00	0.5037	0.50445	0.5012	0.50245	20058	29
